Date, Open, High, Low, Close, Volume
12/6/2018,14.95,14.95,14.95,14.95,200
12/4/2018,14.9,14.9,14.9,14.9,200
11/29/2018,14.95,15,14,14.95,3600
11/28/2018,15,15.05,15,15,900
11/27/2018,15,15.05,15,15,2500
11/26/2018,15.5,15.5,15.5,15.5,1100
11/23/2018,16,16,16,16,200
11/21/2018,16,16,16,16,100
11/16/2018,15.15,15.15,15.15,15.15,100
11/2/2018,15.1,15.4,15.1,15.1,5000
10/30/2018,15,15,15,15,100
10/26/2018,16.5,16.5,16.5,16.5,100
10/18/2018,16.5,16.5,16.5,16.5,3700
10/17/2018,17,17,17,17,1300
10/15/2018,16.5,16.5,16.5,16.5,100
10/11/2018,18,18,18,18,600
10/9/2018,18,18,18,18,3000
10/8/2018,18,18,18,18,100
10/5/2018,18,18,18,18,100
10/1/2018,20,20,20,20,200
9/26/2018,19.75,19.75,19.75,19.75,400
9/25/2018,19.75,19.75,19.75,19.75,100
9/20/2018,19.75,19.75,19.75,19.75,100
9/19/2018,19.75,19.75,19.75,19.75,200
9/17/2018,19.75,19.75,19.75,19.75,100
9/11/2018,19.85,20,19.75,19.85,200
9/10/2018,20.25,20.5,20,20.25,200
9/6/2018,20,20,20,20,900
9/5/2018,20,20,20,20,200
9/4/2018,21.5,21.5,21.5,21.5,200
8/24/2018,20,20,20,20,100
8/9/2018,20.25,20.25,20.25,20.25,100
7/30/2018,18.6,18.6,18.6,18.6,400
7/27/2018,18.6,18.6,18.6,18.6,100
7/26/2018,19,19,19,19,500
7/25/2018,19,19,19,19,100
7/24/2018,19,19,19,19,100
7/23/2018,19,19,19,19,1300
7/19/2018,20,20,20,20,100
7/13/2018,19.05,20,19,19.05,1500
7/12/2018,19.2,20.75,19,19.2,1700
7/11/2018,20.75,20.75,20.75,20.75,100
7/10/2018,21,21,21,21,1200
7/6/2018,20,20,20,20,100
7/4/2018,20,20,20,20,700
7/2/2018,19.05,20,19,19.05,1100
6/28/2018,20,20,20,20,500
6/27/2018,21,21,21,21,100
6/22/2018,20.25,20.25,20.25,20.25,300
6/21/2018,20.25,20.25,20.25,20.25,400
6/19/2018,20.25,20.25,20.25,20.25,200
6/14/2018,20.25,20.25,20.25,20.25,100
6/13/2018,19.95,21,18.5,19.95,72900
6/12/2018,20,20.25,20,20,500
6/8/2018,20.25,20.5,20,20.25,1000
6/7/2018,19,19,19,19,100
6/6/2018,19,19,19,19,2500
6/5/2018,19,19,19,19,200
5/29/2018,19,19,19,19,1000
5/28/2018,18.75,18.75,18.75,18.75,500
5/23/2018,19,19,19,19,200
5/21/2018,19,19,19,19,700
5/17/2018,19.1,19.1,19.1,19.1,5400
5/14/2018,21,21,21,21,100
5/11/2018,19.1,19.1,19.1,19.1,100
5/10/2018,19.9,19.9,19.9,19.9,100
5/4/2018,18.1,18.1,18.1,18.1,1000
5/2/2018,18.5,18.5,18.5,18.5,1000
4/27/2018,18.1,18.1,18.1,18.1,100
4/26/2018,17.5,17.5,17.5,17.5,400
4/24/2018,19.25,19.25,19.25,19.25,9600
4/23/2018,21.25,21.25,21.25,21.25,400
4/20/2018,19.5,19.5,19.5,19.5,200
4/19/2018,19.35,19.35,19.35,19.35,200
4/18/2018,21.5,21.5,21.5,21.5,100
4/17/2018,21.75,21.75,21.75,21.75,100
4/16/2018,21,21.75,20.25,21,400
4/13/2018,21.75,22,21.75,21.75,600
4/12/2018,20.5,20.5,20.5,20.5,500
4/11/2018,20.5,20.5,20.5,20.5,600
4/5/2018,20.5,20.5,20.5,20.5,100
4/4/2018,20.75,21.25,20.5,20.75,800
4/3/2018,21.25,22,20.5,21.25,200
3/29/2018,20.5,20.5,20.5,20.5,1000
3/28/2018,21.75,22,21.75,21.75,1100
3/27/2018,22,22,22,22,500
3/26/2018,21.75,22,20,21.75,1600
3/23/2018,20.25,20.5,20,20.25,1400
3/20/2018,20.25,22,20,20.25,7700
3/19/2018,21.25,21.25,21.25,21.25,1
3/14/2018,20,21.75,20,20,4100
3/13/2018,21.75,21.75,21.75,21.75,700
3/9/2018,24,24,24,24,200
3/8/2018,23,23,23,23,700
3/7/2018,23.75,23.75,23.75,23.75,100
3/1/2018,24.5,24.5,24.5,24.5,800
2/28/2018,24.5,24.5,24.5,24.5,100
2/20/2018,23,23,23,23,100
2/19/2018,23.75,24,23.75,23.75,600
2/16/2018,24,24,24,24,100
2/15/2018,24.75,24.75,24.75,24.75,100
2/13/2018,23.5,23.5,23.5,23.5,1900
2/9/2018,23,23,23,23,900
2/8/2018,21.5,21.5,21.5,21.5,200
2/6/2018,23,23,23,23,100
2/2/2018,23.25,23.25,23.25,23.25,7500
1/29/2018,21.25,21.25,21.25,21.25,300
1/26/2018,20.25,20.5,20.25,20.25,1000
1/25/2018,22.5,22.75,22.5,22.5,3200
1/24/2018,24.25,24.75,24,24.25,500
1/23/2018,24.25,24.25,24.25,24.25,10000
1/17/2018,24.75,25,24.75,24.75,1700
1/16/2018,24.75,24.75,24.75,24.75,200
1/15/2018,24.75,24.75,24.75,24.75,800
1/11/2018,22.5,22.5,22.5,22.5,100
1/10/2018,23,23,23,23,400
1/9/2018,25,25,25,25,200
1/8/2018,25,25,25,25,200
1/4/2018,25,25.25,25,25,15000
1/2/2018,25,25,25,25,10500
