Date, Open, High, Low, Close, Volume,Company
12/20/2021,12.85,12.85,12.85,12.85,100,EGAD
12/14/2021,13.8,14,12.85,13.6,400,EGAD
12/10/2021,14,14,13.8,13.95,400,EGAD
12/06/2021,13.8,13.8,13.8,13.8,4400,EGAD
12/03/2021,13.95,13.95,13.95,13.95,100,EGAD
12/02/2021,13.95,13.95,13.95,13.95,100,EGAD
12/01/2021,13,13,12.7,12.8,700,EGAD
11/30/2021,12.9,12.9,12.55,12.7,3100,EGAD
11/29/2021,12.9,12.9,12.9,12.9,1200,EGAD
11/23/2021,14,14,14,14,100,EGAD
11/15/2021,13.9,13.9,13.9,13.9,300,EGAD
11/12/2021,13.9,13.9,13.9,13.9,100,EGAD
11/11/2021,12.7,12.7,12.6,12.7,1100,EGAD
11/08/2021,14,14,14,14,100,EGAD
11/04/2021,13,13,13,13,100,EGAD
11/03/2021,12.75,13.6,12.75,13.55,6000,EGAD
11/02/2021,12,12.45,12,12.4,7000,EGAD
11/01/2021,12.45,12.45,12.45,12.45,100,EGAD
10/29/2021,12,12,12,12,1700,EGAD
10/28/2021,12.45,12.45,12.45,12.45,100,EGAD
10/27/2021,12.45,12.45,12.45,12.45,300,EGAD
10/25/2021,12.75,12.75,12.75,12.75,200,EGAD
10/21/2021,13.2,13.2,13.2,13.2,1100,EGAD
10/14/2021,13,13,13,13,100,EGAD
10/12/2021,12,12,12,12,1000,EGAD
10/07/2021,13,13,13,13,100,EGAD
10/06/2021,13,13,13,13,700,EGAD
10/05/2021,14,14,14,14,600,EGAD
10/04/2021,13.9,13.9,13.9,13.9,500,EGAD
10/01/2021,13.8,14,13.8,13.9,200,EGAD
09/29/2021,12.75,13.2,12.75,13,700,EGAD
09/28/2021,13.8,13.8,13.8,13.8,200,EGAD
09/27/2021,13.8,14,13.8,13.9,1700,EGAD
09/24/2021,12.8,12.8,12.75,12.8,4100,EGAD
09/21/2021,13,13,13,13,1600,EGAD
09/20/2021,14,14,14,14,400,EGAD
09/13/2021,13,14,12.95,13.45,7500,EGAD
09/10/2021,13.8,13.8,13.8,13.8,100,EGAD
09/09/2021,12.95,12.95,12.85,12.85,2600,EGAD
09/08/2021,12.9,13,12.9,13,2700,EGAD
09/06/2021,13.8,13.8,12.8,12.95,1200,EGAD
09/02/2021,14,14,14,14,500,EGAD
08/31/2021,14,14,14,14,1100,EGAD
08/30/2021,14,14,13.8,14,9400,EGAD
08/26/2021,13,13,13,13,500,EGAD
08/23/2021,14.5,14.5,13.1,13.25,1700,EGAD
08/20/2021,14.5,14.5,13.5,14.4,1300,EGAD
08/19/2021,13.5,13.5,13.5,13.5,400,EGAD
